,Assay_name,Assay_type,Description,l1,l2,l3,l4,Source,Note
2102,T103788,BioChemical,Transient receptor potential cation channel subfamily M member 4,Ion channel,Voltage-gated ion channel,Transient receptor potential channel,,Chembl,ion channel  vgc  trp
2103,T103789,BioChemical,Transient receptor potential cation channel subfamily M member 6,Ion channel,Voltage-gated ion channel,Transient receptor potential channel,,Chembl,ion channel  vgc  trp
2104,T103791,BioChemical,Relaxin-3 receptor 1,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Relaxin-like peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  relaxin-like peptide  relaxin
2105,T103792,BioChemical,Relaxin-3 receptor 2,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Relaxin-like peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  relaxin-like peptide  relaxin
2106,T103794,BioChemical,Fatty-acid amide hydrolase 2,Enzyme,,,,Chembl,enzyme
2107,T103796,BioChemical,"Amiloride-sensitive cation channel 2, neuronal",Ion channel,Ligand-gated ion channel,Acid-sensing ion channel,,Chembl,ion channel  lgic  asic
2108,T103797,BioChemical,Chloride channel protein 2,Ion channel,Other ion channel,Chloride channel,ClC chloride channel,Chembl,ion channel  other  chloride  clc
2109,T103800,BioChemical,Apelin receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  neuropeptide receptor
2110,T103801,BioChemical,Relaxin receptor 2,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Relaxin-like peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  relaxin-like peptide  relaxin
2111,T103829,BioChemical,Solute carrier family 22 member 6,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC22 family of organic cation and anion transporters,Chembl,transporter  electrochemical  slc  slc22
2112,T103830,BioChemical,Solute carrier family 22 member 8,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC22 family of organic cation and anion transporters,Chembl,transporter  electrochemical  slc  slc22
2113,T103835,BioChemical,DNA-directed RNA polymerase II subunit RPB1,Enzyme,,,,Chembl,enzyme
2114,T103844,BioChemical,Deoxyribonuclease gamma,Enzyme,,,,Chembl,enzyme
2115,T103846,BioChemical,Cholecystokinin,Unclassified protein,,,,Chembl,unclassified
2116,T103847,BioChemical,Growth factor receptor-bound protein 7,Unclassified protein,,,,Chembl,unclassified
2117,T103848,BioChemical,C-C motif chemokine 2,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Chemokine receptor,Chembl,membrane receptor  7tm1  peptide  chemokine receptor  cc chemokine receptor
2118,T103849,BioChemical,Antigen-presenting glycoprotein CD1d,Unclassified protein,,,,Chembl,unclassified
2119,T103854,BioChemical,Beta-nerve growth factor,Unclassified protein,,,,Chembl,unclassified
2120,T103855,BioChemical,Serine/threonine-protein kinase VRK2,Enzyme,,,,Chembl,enzyme
2121,T103895,BioChemical,Galectin-4,Unclassified protein,,,,Chembl,unclassified
2122,T103896,BioChemical,ERO1-like protein alpha,Enzyme,,,,Chembl,enzyme
2123,T103899,BioChemical,Cytochrome b-c1 complex subunit 7,Unclassified protein,,,,Chembl,unclassified
2124,T103904,BioChemical,Prolactin-releasing peptide receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  prolactin-releasing peptide receptor
2125,T103911,BioChemical,"Coproporphyrinogen-III oxidase, mitochondrial",Enzyme,,,,Chembl,enzyme
2126,T103912,BioChemical,Uroporphyrinogen decarboxylase,Enzyme,,,,Chembl,enzyme
2127,T103924,BioChemical,Acyl-protein thioesterase 1,Enzyme,,,,Chembl,enzyme
2128,T103927,BioChemical,Transcription factor GATA-4,Transcription factor,,,,Chembl,transcription factor
2129,T103929,BioChemical,T-box transcription factor TBX5,Unclassified protein,,,,Chembl,unclassified
2130,T103930,BioChemical,Voltage-dependent R-type calcium channel subunit alpha-1E,Ion channel,Voltage-gated ion channel,Voltage-gated calcium channel,,Chembl,ion channel  vgc  vg ca
2131,T103936,BioChemical,Peptidyl-prolyl cis-trans isomerase D,Enzyme,,,,Chembl,enzyme
2132,T103947,BioChemical,Solute carrier organic anion transporter family member 1B1,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC21/SLCO family of organic anion transporting polypeptides,Chembl,transporter  electrochemical  slc  slc21
2133,T103948,BioChemical,Cadherin-2,Unclassified protein,,,,Chembl,unclassified
2134,T103950,BioChemical,Placenta growth factor,Unclassified protein,,,,Chembl,unclassified
2135,T103953,BioChemical,Triggering receptor expressed on myeloid cells 1,Unclassified protein,,,,Chembl,unclassified
2136,T103958,BioChemical,Phosphomannomutase 2,Enzyme,,,,Chembl,enzyme
2137,T103960,BioChemical,Perilipin-1,Unclassified protein,,,,Chembl,unclassified
2138,T103961,BioChemical,Microphthalmia-associated transcription factor,Unclassified protein,,,,Chembl,unclassified
2139,T103970,BioChemical,Acylamino-acid-releasing enzyme,Enzyme,,,,Chembl,enzyme
2140,T103972,BioChemical,X-box-binding protein 1,Unclassified protein,,,,Chembl,unclassified
2141,T103975,BioChemical,Probable DNA dC->dU-editing enzyme APOBEC-3A,Enzyme,,,,Chembl,enzyme
2142,T103982,BioChemical,Nuclear receptor ROR-gamma,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group F,Chembl,transcription factor  nuclear receptor  nr1  nr1f  nr1f3
2143,T103983,BioChemical,Importin subunit alpha-2,Unclassified protein,,,,Chembl,unclassified
2144,T103985,BioChemical,FAD-linked sulfhydryl oxidase ALR,Enzyme,,,,Chembl,enzyme
2145,T103987,BioChemical,SUMO-conjugating enzyme UBC9,Enzyme,,,,Chembl,enzyme
2146,T103989,BioChemical,Chromobox protein homolog 1,Epigenetic regulator,Reader,Methyl-lysine/arginine binding protein,Chromodomain,Chembl,epigenetic regulator  reader  methyl-lysine  chromo
2147,T103991,BioChemical,Enteropeptidase,Enzyme,Protease,Serine protease,,Chembl,enzyme  protease  serine
2148,T103996,BioChemical,Putative hexokinase HKDC1,Enzyme,,,,Chembl,enzyme
2149,T104003,BioChemical,Sentrin-specific protease 8,Enzyme,,,,Chembl,enzyme
2150,T104004,BioChemical,"NACHT, LRR and PYD domains-containing protein 3",Unclassified protein,,,,Chembl,unclassified
2151,T104005,BioChemical,ATPase family AAA domain-containing protein 5,Unclassified protein,,,,Chembl,unclassified
2152,T104006,BioChemical,M-phase phosphoprotein 8,Epigenetic regulator,Reader,Methyl-lysine/arginine binding protein,Chromodomain,Chembl,epigenetic regulator  reader  methyl-lysine  chromo
2153,T104009,BioChemical,Sentrin-specific protease 7,Enzyme,,,,Chembl,enzyme
2154,T104010,BioChemical,"NACHT, LRR and PYD domains-containing protein 1",Unclassified protein,,,,Chembl,unclassified
2155,T104011,BioChemical,Sentrin-specific protease 6,Enzyme,,,,Chembl,enzyme
2156,T104012,BioChemical,NADPH oxidase 3,Enzyme,,,,Chembl,enzyme
2157,T104013,BioChemical,DNA dC->dU-editing enzyme APOBEC-3G,Enzyme,,,,Chembl,enzyme
2158,T104016,BioChemical,Bromodomain adjacent to zinc finger domain protein 2B,Epigenetic regulator,Reader,Bromodomain,,Chembl,epigenetic regulator  reader  brd
2159,T104016,BioChemical,Bromodomain adjacent to zinc finger domain protein 2B,Epigenetic regulator,Reader,Plant homeodomain,,Chembl,epigenetic regulator  reader  phd
2160,T104017,BioChemical,Cysteine protease ATG4B,Enzyme,,,,Chembl,enzyme
2161,T104033,BioChemical,Osteopontin,Unclassified protein,,,,Chembl,unclassified
2162,T104062,BioChemical,Solute carrier organic anion transporter family member 1B3,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC21/SLCO family of organic anion transporting polypeptides,Chembl,transporter  electrochemical  slc  slc21
2163,T104063,BioChemical,Solute carrier family 22 member 2,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC22 family of organic cation and anion transporters,Chembl,transporter  electrochemical  slc  slc22
2164,T104064,BioChemical,Solute carrier organic anion transporter family member 1A2,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC21/SLCO family of organic anion transporting polypeptides,Chembl,transporter  electrochemical  slc  slc21
2165,T104065,BioChemical,Solute carrier organic anion transporter family member 2B1,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC21/SLCO family of organic anion transporting polypeptides,Chembl,transporter  electrochemical  slc  slc21
2166,T104066,BioChemical,Solute carrier family 15 member 2,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC15 family of peptide transporters,Chembl,transporter  electrochemical  slc  slc15
2167,T104067,BioChemical,Multidrug and toxin extrusion protein 1,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC47 family of multidrug and toxin extrusion transporters,Chembl,transporter  electrochemical  slc  slc47
2168,T104068,BioChemical,Multidrug and toxin extrusion protein 2,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC47 family of multidrug and toxin extrusion transporters,Chembl,transporter  electrochemical  slc  slc47
2169,T104069,BioChemical,Multidrug resistance-associated protein 4,Transporter,Primary active transporter,ATP-binding cassette,ABCC subfamily,Chembl,transporter  ntpase  atp binding cassette  mrp
2170,T104070,BioChemical,Multidrug resistance protein 3,Transporter,Primary active transporter,ATP-binding cassette,ABCB subfamily,Chembl,transporter  ntpase  atp binding cassette  mdr
2171,T104071,BioChemical,Leukotriene C4 synthase,Enzyme,,,,Chembl,enzyme
2172,T104072,BioChemical,Microsomal glutathione S-transferase 1,Enzyme,,,,Chembl,enzyme
2173,T104073,BioChemical,Microsomal glutathione S-transferase 2,Enzyme,,,,Chembl,enzyme
2174,T104074,BioChemical,Microsomal glutathione S-transferase 3,Enzyme,,,,Chembl,enzyme
2175,T104076,BioChemical,Sulfotransferase 1A1,Enzyme,,,,Chembl,enzyme
2176,T104077,BioChemical,Sulfotransferase 1A2,Enzyme,,,,Chembl,enzyme
2177,T104078,BioChemical,Sulfotransferase 1A3/1A4,Enzyme,,,,Chembl,enzyme
2178,T104079,BioChemical,Sulfotransferase family cytosolic 1B member 1,Enzyme,,,,Chembl,enzyme
2179,T104080,BioChemical,Sulfotransferase 1C2,Enzyme,,,,Chembl,enzyme
2180,T104081,BioChemical,Sulfotransferase 1C4,Enzyme,,,,Chembl,enzyme
2181,T104082,BioChemical,Sulfotransferase family cytosolic 2B member 1,Enzyme,,,,Chembl,enzyme
2182,T104083,BioChemical,Sulfotransferase 4A1,Enzyme,,,,Chembl,enzyme
2183,T104084,BioChemical,UDP-glucuronosyltransferase 1-6,Enzyme,,,,Chembl,enzyme
2184,T104085,BioChemical,UDP-glucuronosyltransferase 1-7,Enzyme,,,,Chembl,enzyme
2185,T104086,BioChemical,UDP-glucuronosyltransferase 1-8,Enzyme,,,,Chembl,enzyme
2186,T104087,BioChemical,UDP-glucuronosyltransferase 1-9,Enzyme,,,,Chembl,enzyme
2187,T104088,BioChemical,UDP-glucuronosyltransferase 1-10,Enzyme,,,,Chembl,enzyme
2188,T104089,BioChemical,UDP-glucuronosyltransferase 2A1,Enzyme,,,,Chembl,enzyme
2189,T104103,BioChemical,Endothelial PAS domain-containing protein 1,Unclassified protein,,,,Chembl,unclassified
2190,T104105,BioChemical,Sodium/myo-inositol cotransporter 2,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC05 family of sodium-dependent glucose transporters,Chembl,transporter  electrochemical  slc  slc05
2191,T104106,BioChemical,Nicotinamide phosphoribosyltransferase,Enzyme,,,,Chembl,enzyme
2192,T104107,BioChemical,Platelet glycoprotein 4,Unclassified protein,,,,Chembl,unclassified
2193,T104113,BioChemical,Ceramide kinase,Enzyme,,,,Chembl,enzyme
2194,T104114,BioChemical,Membrane-associated phosphatidylinositol transfer protein 1,Unclassified protein,,,,Chembl,unclassified
2195,T104115,BioChemical,Annexin A2,Ion channel,Other ion channel,Annexin,,Chembl,ion channel  other  annexin
2196,T104117,BioChemical,Replication protein A 70 kDa DNA-binding subunit,Unclassified protein,,,,Chembl,unclassified
2197,T104118,BioChemical,Dual specificity protein phosphatase 14,Enzyme,,,,Chembl,enzyme
2198,T104121,BioChemical,"Scm-like with four mbt domains 1, isoform CRA_b",Epigenetic regulator,Reader,Methyl-lysine/arginine binding protein,MBT domain,Chembl,epigenetic regulator  reader  methyl-lysine  mbt
2199,T104122,BioChemical,PHD finger protein 13,Epigenetic regulator,Reader,Plant homeodomain,,Chembl,epigenetic regulator  reader  phd
2200,T104123,BioChemical,Chromobox protein homolog 7,Epigenetic regulator,Reader,Methyl-lysine/arginine binding protein,Chromodomain,Chembl,epigenetic regulator  reader  methyl-lysine  chromo
2201,T104126,BioChemical,Phosphatidylinositol-5-phosphate 4-kinase type-2 gamma,Enzyme,,,,Chembl,enzyme
2202,T104139,BioChemical,Low affinity sodium-glucose cotransporter,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC05 family of sodium-dependent glucose transporters,Chembl,transporter  electrochemical  slc  slc05
2203,T104140,BioChemical,Dual specificity protein phosphatase CDC14A,Enzyme,,,,Chembl,enzyme
2204,T104141,BioChemical,"Serine hydroxymethyltransferase, cytosolic",Enzyme,,,,Chembl,enzyme
2205,T104142,BioChemical,ATP-binding cassette sub-family B member 5,Transporter,Primary active transporter,ATP-binding cassette,ABCB subfamily,Chembl,transporter  ntpase  atp binding cassette  mdr
2206,T104146,BioChemical,Mitotic checkpoint serine/threonine-protein kinase BUB1,Enzyme,,,,Chembl,enzyme
2207,T104147,BioChemical,Probable G-protein coupled receptor 160,Membrane receptor,Family A G protein-coupled receptor,,,Chembl,membrane receptor  7tm1
2208,T104157,BioChemical,78 kDa glucose-regulated protein,Unclassified protein,,,,Chembl,unclassified
2209,T104160,BioChemical,Programmed cell death protein 4,Unclassified protein,,,,Chembl,unclassified
2210,T104162,BioChemical,"Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1",Enzyme,,,,Chembl,enzyme
2211,T104167,BioChemical,Ataxin-2,Unclassified protein,,,,Chembl,unclassified
2212,T104169,BioChemical,Ubiquitin carboxyl-terminal hydrolase 1,Enzyme,,,,Chembl,enzyme
2213,T104170,BioChemical,Beta-arrestin-1,Unclassified protein,,,,Chembl,unclassified
2214,T104173,BioChemical,Regulator of G-protein signaling 4,Unclassified protein,,,,Chembl,unclassified
2215,T104175,BioChemical,Apoptotic protease-activating factor 1,Unclassified protein,,,,Chembl,unclassified
2216,T104176,BioChemical,Nuclear receptor subfamily 0 group B member 1,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 0,Nuclear hormone receptor subfamily 0 group B,Chembl,transcription factor  nuclear receptor  nr0  nr0b  nr0b1
2217,T104180,BioChemical,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,Enzyme,,,,Chembl,enzyme
2218,T104182,BioChemical,Rho-related GTP-binding protein RhoB,Unclassified protein,,,,Chembl,unclassified
2219,T104183,BioChemical,Matrix metalloproteinase-25,Enzyme,,,,Chembl,enzyme
2220,T104185,BioChemical,Far upstream element-binding protein 2,Unclassified protein,,,,Chembl,unclassified
2221,T104188,BioChemical,Elongation factor 2,Unclassified protein,,,,Chembl,unclassified
2222,T104189,BioChemical,Ephrin-A2,Unclassified protein,,,,Chembl,unclassified
2223,T104193,BioChemical,Mannose-binding protein C,Unclassified protein,,,,Chembl,unclassified
2224,T104194,BioChemical,CD209 antigen,Unclassified protein,,,,Chembl,unclassified
2225,T104196,BioChemical,Protein arginine N-methyltransferase 5,Epigenetic regulator,Writer,Protein methyltransferase,Protein arginine methyltransferase,Chembl,epigenetic regulator  writer  pmt  prmt
2226,T104197,BioChemical,"Histone-lysine N-methyltransferase, H3 lysine-79 specific",Epigenetic regulator,Writer,Protein methyltransferase,,Chembl,epigenetic regulator  writer  pmt
2227,T104198,BioChemical,Histone-lysine N-methyltransferase SUV39H1,Epigenetic regulator,Writer,Protein methyltransferase,,Chembl,epigenetic regulator  writer  pmt
2228,T104198,BioChemical,Histone-lysine N-methyltransferase SUV39H1,Epigenetic regulator,Reader,Methyl-lysine/arginine binding protein,Chromodomain,Chembl,epigenetic regulator  reader  methyl-lysine  chromo
2229,T104200,BioChemical,Elongation factor 1-alpha 1,Unclassified protein,,,,Chembl,unclassified
2230,T104202,BioChemical,Elongation factor 1-alpha 2,Unclassified protein,,,,Chembl,unclassified
2231,T104203,BioChemical,Hsp90 co-chaperone Cdc37,Unclassified protein,,,,Chembl,unclassified
2232,T104209,BioChemical,Interleukin-6,Secreted protein,,,,Chembl,secreted
2233,T104210,BioChemical,Somatostatin,Unclassified protein,,,,Chembl,unclassified
2234,T104211,BioChemical,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A",Enzyme,,,,Chembl,enzyme
2235,T104218,BioChemical,Transmembrane protease serine 11D,Enzyme,Protease,Serine protease,,Chembl,enzyme  protease  serine
2236,T104219,BioChemical,Transmembrane protease serine 6,Enzyme,Protease,Serine protease,,Chembl,enzyme  protease  serine
2237,T104220,BioChemical,Transmembrane protease serine 2,Enzyme,Protease,Serine protease,,Chembl,enzyme  protease  serine
2238,T104223,BioChemical,Poly(ADP-ribose) glycohydrolase,Enzyme,,,,Chembl,enzyme
2239,T104228,BioChemical,"Arginase-2, mitochondrial",Enzyme,,,,Chembl,enzyme
2240,T104230,BioChemical,Adenosine deaminase-like protein,Enzyme,,,,Chembl,enzyme
2241,T104231,BioChemical,Bis(5'-adenosyl)-triphosphatase,Enzyme,,,,Chembl,enzyme
2242,T104245,BioChemical,Hormonally up-regulated neu tumor-associated kinase,Enzyme,,,,Chembl,enzyme
2243,T104246,BioChemical,Sterol regulatory element-binding protein 2,Unclassified protein,,,,Chembl,unclassified
2244,T104248,BioChemical,CDGSH iron-sulfur domain-containing protein 1,Unclassified protein,,,,Chembl,unclassified
2245,T104251,BioChemical,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,Ion channel,Voltage-gated ion channel,Cyclic nucleotide-regulated channel,,Chembl,ion channel  vgc  c-gmp
2246,T104252,BioChemical,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2,Ion channel,Voltage-gated ion channel,Cyclic nucleotide-regulated channel,,Chembl,ion channel  vgc  c-gmp
2247,T104253,BioChemical,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3,Ion channel,Voltage-gated ion channel,Cyclic nucleotide-regulated channel,,Chembl,ion channel  vgc  c-gmp
2248,T104256,BioChemical,N-lysine methyltransferase SETD8,Epigenetic regulator,Writer,Protein methyltransferase,SET domain,Chembl,epigenetic regulator  writer  pmt  set
2249,T104257,BioChemical,Histone-lysine N-methyltransferase SUV39H2,Epigenetic regulator,Writer,Protein methyltransferase,,Chembl,epigenetic regulator  writer  pmt
2250,T104257,BioChemical,Histone-lysine N-methyltransferase SUV39H2,Epigenetic regulator,Reader,Methyl-lysine/arginine binding protein,Chromodomain,Chembl,epigenetic regulator  reader  methyl-lysine  chromo
2251,T104258,BioChemical,Transforming growth factor beta-1,Unclassified protein,,,,Chembl,unclassified
2252,T104259,BioChemical,Rapamycin-insensitive companion of mTOR,Unclassified protein,,,,Chembl,unclassified
2253,T104264,BioChemical,Protein polybromo-1,Epigenetic regulator,Reader,Bromodomain,,Chembl,epigenetic regulator  reader  brd
2254,T104265,BioChemical,Bromodomain testis-specific protein,Epigenetic regulator,Reader,Bromodomain,,Chembl,epigenetic regulator  reader  brd
2255,T104266,BioChemical,Bromodomain-containing protein 3,Epigenetic regulator,Reader,Bromodomain,,Chembl,epigenetic regulator  reader  brd
2256,T104268,BioChemical,Proton-coupled folate transporter,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC46 family of folate transporters,Chembl,transporter  electrochemical  slc  slc46
2257,T104271,BioChemical,Cyclin-dependent kinase 10,Enzyme,,,,Chembl,enzyme
2258,T104272,BioChemical,Cyclin-dependent kinase 13,Enzyme,,,,Chembl,enzyme
2259,T104273,BioChemical,Ribosomal protein S6 kinase delta-1,Enzyme,,,,Chembl,enzyme
2260,T104274,BioChemical,Phosphatidylinositol-5-phosphate 4-kinase type-2 alpha,Enzyme,,,,Chembl,enzyme
2261,T104275,BioChemical,Serine/threonine-protein kinase SMG1,Enzyme,,,,Chembl,enzyme
2262,T104276,BioChemical,Serine/threonine-protein kinase WNK4,Enzyme,,,,Chembl,enzyme
2263,T104277,BioChemical,Heat-stable enterotoxin receptor,Enzyme,Lyase,Guanylate cyclase,Receptor guanylate cyclase,Chembl,enzyme  lyase  guanylate cyclase  receptor guanylate cyclase
2264,T104278,BioChemical,STE20-related kinase adapter protein alpha,Unclassified protein,,,,Chembl,unclassified
2265,T104279,BioChemical,Receptor-interacting serine/threonine-protein kinase 3,Enzyme,,,,Chembl,enzyme
2266,T104312,BioChemical,Peripheral plasma membrane protein CASK,Enzyme,,,,Chembl,enzyme
2267,T104313,BioChemical,Serine/threonine-protein kinase PRP4 homolog,Enzyme,,,,Chembl,enzyme
2268,T104314,BioChemical,Phosphatidylinositol-4-phosphate 5-kinase type-1 gamma,Enzyme,,,,Chembl,enzyme
2269,T104315,BioChemical,SNF-related serine/threonine-protein kinase,Enzyme,,,,Chembl,enzyme
2270,T104317,BioChemical,Dual serine/threonine and tyrosine protein kinase,Enzyme,,,,Chembl,enzyme
2271,T104320,BioChemical,Mitogen-activated protein kinase kinase kinase 12,Enzyme,,,,Chembl,enzyme
2272,T104326,BioChemical,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 1,Enzyme,,,,Chembl,enzyme
2273,T104327,BioChemical,14-3-3 protein sigma,Unclassified protein,,,,Chembl,unclassified
2274,T104329,BioChemical,Sentrin-specific protease 1,Enzyme,,,,Chembl,enzyme
2275,T104331,BioChemical,Protein-arginine deiminase type-1,Enzyme,,,,Chembl,enzyme
2276,T104332,BioChemical,Protein-arginine deiminase type-2,Enzyme,,,,Chembl,enzyme
2277,T104333,BioChemical,Protein-arginine deiminase type-3,Enzyme,,,,Chembl,enzyme
2278,T104335,BioChemical,Interleukin-1 beta,Secreted protein,,,,Chembl,secreted
2279,T104356,BioChemical,DNA-directed DNA/RNA polymerase mu,Enzyme,,,,Chembl,enzyme
2280,T104362,BioChemical,Islet amyloid polypeptide,Unclassified protein,,,,Chembl,unclassified
2281,T104368,BioChemical,Scavenger receptor class B member 1,Unclassified protein,,,,Chembl,unclassified
2282,T104372,BioChemical,Inward rectifier potassium channel 2,Ion channel,Voltage-gated ion channel,Potassium channels,Inwardly rectifying potassium channel,Chembl,ion channel  vgc  k  kir
2283,T104375,BioChemical,Proton-coupled amino acid transporter 1,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC36 family of proton-coupled amino acid transporters,Chembl,transporter  electrochemical  slc  slc36
2284,T104380,BioChemical,Appetite-regulating hormone,Unclassified protein,,,,Chembl,unclassified
2285,T104383,BioChemical,Protoporphyrinogen oxidase,Enzyme,,,,Chembl,enzyme
2286,T104387,BioChemical,Tau-tubulin kinase 1,Enzyme,,,,Chembl,enzyme
2287,T104389,BioChemical,Synphilin-1,Unclassified protein,,,,Chembl,unclassified
2288,T104391,BioChemical,Bone morphogenetic protein 2,Unclassified protein,,,,Chembl,unclassified
2289,T104392,BioChemical,NADPH oxidase 5,Transporter,Transmembrane 1-electron transfer carriers,,,Chembl,transporter  1-electron
2290,T104395,BioChemical,Acyl-protein thioesterase 2,Enzyme,,,,Chembl,enzyme
2291,T104397,BioChemical,40S ribosomal protein S27,Unclassified protein,,,,Chembl,unclassified
2292,T104399,BioChemical,Natural resistance-associated macrophage protein 2,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC11 family of proton-coupled metal ion transporters,Chembl,transporter  electrochemical  slc  slc11
2293,T104400,BioChemical,Ezrin,Unclassified protein,,,,Chembl,unclassified
2294,T104416,BioChemical,Histone acetyltransferase KAT8,Epigenetic regulator,Writer,Histone acetyltransferase,MYST family,Chembl,epigenetic regulator  writer  hat  myst
2295,T104416,BioChemical,Histone acetyltransferase KAT8,Epigenetic regulator,Reader,Methyl-lysine/arginine binding protein,Chromodomain,Chembl,epigenetic regulator  reader  methyl-lysine  chromo
2296,T104419,BioChemical,Lysine-specific histone demethylase 1B,Epigenetic regulator,Eraser,Lysine demethylase,Lysine-specific demethylase,Chembl,epigenetic regulator  eraser  kdm  lsd
2297,T104420,BioChemical,Lysine-specific demethylase 3A,Epigenetic regulator,Eraser,Lysine demethylase,Jumonji domain-containing,Chembl,epigenetic regulator  eraser  kdm  jumonji
2298,T104421,BioChemical,Lysine-specific demethylase 2A,Epigenetic regulator,Eraser,Lysine demethylase,Jumonji domain-containing,Chembl,epigenetic regulator  eraser  kdm  jumonji
2299,T104421,BioChemical,Lysine-specific demethylase 2A,Epigenetic regulator,Reader,Plant homeodomain,,Chembl,epigenetic regulator  reader  phd
2300,T104422,BioChemical,Lysine-specific demethylase 6B,Epigenetic regulator,Eraser,Lysine demethylase,Jumonji domain-containing,Chembl,epigenetic regulator  eraser  kdm  jumonji
2301,T104423,BioChemical,Histone lysine demethylase PHF8,Epigenetic regulator,Eraser,Lysine demethylase,Jumonji domain-containing,Chembl,epigenetic regulator  eraser  kdm  jumonji
2302,T104423,BioChemical,Histone lysine demethylase PHF8,Epigenetic regulator,Reader,Plant homeodomain,,Chembl,epigenetic regulator  reader  phd
2303,T104425,BioChemical,Matrix metalloproteinase-19,Enzyme,,,,Chembl,enzyme
2304,T104428,BioChemical,Mixed lineage kinase domain-like protein,Unclassified protein,,,,Chembl,unclassified
2305,T104431,BioChemical,Inositol-tetrakisphosphate 1-kinase,Enzyme,,,,Chembl,enzyme
2306,T104433,BioChemical,1-phosphatidylinositol 3-phosphate 5-kinase,Enzyme,,,,Chembl,enzyme
2307,T104434,BioChemical,TP53-regulating kinase,Enzyme,,,,Chembl,enzyme
2308,T104435,BioChemical,Protein phosphatase 1D,Enzyme,,,,Chembl,enzyme
2309,T104437,BioChemical,Matrix metalloproteinase-20,Enzyme,,,,Chembl,enzyme
2310,T104445,BioChemical,Proteasome subunit beta type-9,Enzyme,,,,Chembl,enzyme
2311,T104446,BioChemical,Proteasome subunit beta type-6,Enzyme,,,,Chembl,enzyme
2312,T104452,BioChemical,Long-wave-sensitive opsin 1,Unclassified protein,,,,Chembl,unclassified
2313,T104458,BioChemical,Scavenger mRNA-decapping enzyme DcpS,Enzyme,,,,Chembl,enzyme
2314,T104460,BioChemical,Midkine,Unclassified protein,,,,Chembl,unclassified
2315,T104463,BioChemical,Heterogeneous nuclear ribonucleoprotein A1,Unclassified protein,,,,Chembl,unclassified
2316,T104465,BioChemical,Solute carrier family 22 member 7,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC22 family of organic cation and anion transporters,Chembl,transporter  electrochemical  slc  slc22
2317,T104467,BioChemical,CASP8 and FADD-like apoptosis regulator,Unclassified protein,,,,Chembl,unclassified
2318,T104468,BioChemical,Nuclear receptor subfamily 1 group D member 1,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group D,Chembl,transcription factor  nuclear receptor  nr1  nr1d  nr1d1
2319,T104469,BioChemical,Nuclear receptor subfamily 1 group D member 2,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group D,Chembl,transcription factor  nuclear receptor  nr1  nr1d  nr1d2
2320,T104470,BioChemical,Receptor-type tyrosine-protein phosphatase U,Enzyme,,,,Chembl,enzyme
